id,url,title,rev_host,visit_count,hidden,typed,frecency,last_visit_date,guid,foreign_count,url_hash,description,preview_image_url,site_name,origin_id,recalc_frecency,alt_frecency,recalc_alt_frecency
1,https://www.mozilla.org/privacy/firefox/,,gro.allizom.www.,1,1,0,24,1758585819487855,_9OoAxGE_-CA,0,47356411089529,,,,1,0,,1
2,https://www.mozilla.org/en-US/privacy/firefox/,"Firefox Privacy Notice — Mozilla",gro.allizom.www.,1,0,0,98,1758585819670537,G9kyvKlx82Oo,0,47358032558425,,https://www.mozilla.org/media/img/m24/og.3a69dffad83e.png,,1,0,,1
3,https://support.mozilla.org/products/firefox,,gro.allizom.troppus.,0,0,0,137,,Jt0-IkHRuKDp,1,47358327123126,,,,2,0,,1
4,https://support.mozilla.org/kb/customize-firefox-controls-buttons-and-toolbars?utm_source=firefox-browser&utm_medium=default-bookmarks&utm_campaign=customize,,gro.allizom.troppus.,0,0,0,137,,hXVVAwm3eqq5,1,47359956450016,,,,2,0,,1
5,https://www.mozilla.org/contribute/,,gro.allizom.www.,0,0,0,137,,Vkwh6HZXeMUG,1,47357364218428,,,,1,0,,1
6,https://www.mozilla.org/about/,,gro.allizom.www.,0,0,0,137,,ZvK7xkIUi6GB,1,47357608426557,,,,1,0,,1
7,https://www.google.com/search?client=ubuntu-sn&channel=fs&q=buy+tickets+to+f1+madrid,"Google Search",moc.elgoog.www.,1,0,1,98,1758585829193315,8SZ6Zwn7yhO_,0,47357476608220,,,,3,0,,1
8,https://www.google.com/search?client=ubuntu-sn&channel=fs&q=buy+tickets+to+f1+madrid&sei=5ePRaJnXBuO7i-gP8bqM8AM,"buy tickets to f1 madrid - Pesquisa Google",moc.elgoog.www.,1,0,0,98,1758585829512819,57HTNQoVM-uW,0,47359498977797,,,,3,0,,1
9,https://www.google.com/aclk?sa=L&ai=DChsSEwi40rTdyu2PAxXXsIMHHVixDggYACICCAEQABoCZWY&co=1&gclid=EAIaIQobChMIuNK03crtjwMV17CDBx1YsQ4IEAAYASAAEgL-HvD_BwE&sig=AOD64_27AglvZ2Cv8zH0I9FzpNuvkA6JeQ&q&adurl&ved=2ahUKEwjXrq7dyu2PAxVR9AIHHe59AGQQ0Qx6BAgLEAE&nis=8&ch=1,,moc.elgoog.www.,1,1,0,24,1758585833793664,2AARmPR4vZWM,0,47356945186028,,,,3,0,,1
10,https://tickets.formula1.com/en/?pgs=1&gad_source=1&gad_campaignid=162669730&gclid=EAIaIQobChMIuNK03crtjwMV17CDBx1YsQ4IEAAYASAAEgL-HvD_BwE,,moc.1alumrof.stekcit.,2,1,0,49,1758585835248020,5nB9i5Nko89j,0,47357441783838,,,,4,0,,1
11,https://platiniumgroup.queue-it.net/?c=platiniumgroup&e=f1waitingroom&ver=v3-javascript-3.6.3&cver=539&man=Enter%20F1%20waiting%20room&l=Default%20theme%20by%20Queue-it&t=https%3A%2F%2Ftickets.formula1.com%2Fen%2F%3Fpgs%3D1%26gad_source%3D1%26gad_campaignid%3D162669730%26gclid%3DEAIaIQobChMIuNK03crtjwMV17CDBx1YsQ4IEAAYASAAEgL-HvD_BwE&kupver=cloudflare-1.2.0,,ten.ti-eueuq.puorgmuinitalp.,1,1,0,24,1758585834208704,Jq7HYfQAfxEb,0,47359213636609,,,,5,0,,1
12,https://tickets.formula1.com/en/?pgs=1&gad_source=1&gad_campaignid=162669730&gclid=EAIaIQobChMIuNK03crtjwMV17CDBx1YsQ4IEAAYASAAEgL-HvD_BwE&queueittoken=e_f1waitingroom~q_5b82930c-0134-4727-858d-b58917b9127c~ts_1758586014~ce_true~rt_safetynet~h_ed22bf94ae193ff115f3295416564c03042b4ba238b5657037b2803081e8ccf0,,moc.1alumrof.stekcit.,1,1,0,24,1758585834244979,5RL88i6SLWTf,0,47356409331906,,,,4,0,,1
13,https://tickets.formula1.com/en?pgs=1&gad_source=1&gad_campaignid=162669730&gclid=EAIaIQobChMIuNK03crtjwMV17CDBx1YsQ4IEAAYASAAEgL-HvD_BwE,"F1® Ticket Store | Formula1.com",moc.1alumrof.stekcit.,1,0,0,39,1758585835743385,0yK-5n8YvH9X,0,47356402567923,"Buy official Formula 1 tickets for each Grand Prix of the World Championship season. Order easily online with a wide selection, secure payment and customer support.",https://static.tickets-platform.com/img/pages/39/2131/245/media/feature_image.jpg,,4,0,,1
14,https://www.google.com/search?client=ubuntu-sn&channel=fs&q=youtube,"youtube - Pesquisa Google",moc.elgoog.www.,1,0,1,98,1758585838911224,DRaeUxtHnh3u,0,47359347429085,,,,3,0,,1
15,https://www.youtube.com/,YouTube,moc.ebutuoy.www.,1,0,0,98,1758585841329169,dhaY2wc2flpQ,0,47360296250519,"Enjoy the videos and music you love, upload original content, and share it all with friends, family, and the world on YouTube.",https://www.youtube.com/img/desktop/yt_1200.png,,6,0,,1
16,https://www.youtube.com/watch?v=ZbyxjGE885I,"Jazz at the Library 📚 1 Hour Jazz Music 📖 Library Ambience | Studying Music | Work Aid 🎧 - YouTube",moc.ebutuoy.www.,1,0,1,1950,1758585855287908,8lrQvO7rMqFy,0,47358350407297,"This music compilation has been uploaded in cooperation with Epidemic Sound’s Music Ambassador Program 🎶 Boost your stories with Epidemic Sound: https://sha...",https://i.ytimg.com/vi/ZbyxjGE885I/maxresdefault.jpg,,6,0,,1
